iso_time,topic,payload
2026-04-22T11:43:03.489+02:00,eri/iot/average,-0.0372
2026-04-22T11:43:03.891+02:00,eri/iot/pong,7451572
2026-04-22T11:43:08.663+02:00,eri/iot/average,-0.0592
2026-04-22T11:43:09.048+02:00,eri/iot/pong,12539811
2026-04-22T11:43:13.929+02:00,eri/iot/average,0.0217
2026-04-22T11:43:14.190+02:00,eri/iot/pong,17628079
2026-04-22T11:43:18.798+02:00,eri/iot/average,-0.0100
2026-04-22T11:43:19.205+02:00,eri/iot/pong,22715344
2026-04-22T11:43:26.045+02:00,eri/iot/average,0.0438
2026-04-22T11:43:26.367+02:00,eri/iot/pong,27802892
2026-04-22T11:43:29.302+02:00,eri/iot/average,-0.0164
2026-04-22T11:43:29.626+02:00,eri/iot/pong,32891329
2026-04-22T11:43:34.006+02:00,eri/iot/average,0.0431
2026-04-22T11:43:34.324+02:00,eri/iot/pong,37978864
