iso_time,window,mean,sample_count,fs_hz,proc_us
2026-05-13T09:05:16.151+02:00,48,+0.0014,200,40.0,106845
2026-05-13T09:05:21.257+02:00,49,-0.0006,200,40.0,106397
2026-05-13T09:05:26.389+02:00,50,+0.0001,200,40.0,125969
2026-05-13T09:05:31.501+02:00,51,+0.0007,200,40.0,106431
2026-05-13T09:05:36.609+02:00,52,-0.0002,200,40.0,106425
2026-05-13T09:05:41.707+02:00,53,+0.0005,200,40.0,95526
2026-05-13T09:05:46.816+02:00,54,+0.0002,200,40.0,106356
2026-05-13T09:05:51.950+02:00,55,+0.0008,200,40.0,123111
2026-05-13T09:05:57.059+02:00,56,-0.0013,200,40.0,105305
2026-05-13T09:06:02.167+02:00,57,+0.0013,200,40.0,105850
2026-05-13T09:06:07.276+02:00,58,-0.0008,200,40.0,106483
2026-05-13T09:06:12.375+02:00,59,+0.0003,200,40.0,96742
2026-05-13T09:06:17.517+02:00,60,-0.0005,200,40.0,127775
2026-05-13T09:06:22.624+02:00,61,+0.0002,200,40.0,106069
